result_lag_1,result_lag_2,result_lag_3,result_lag_4,result_lag_5,multiplier_lag_1,multiplier_lag_2,multiplier_lag_3,multiplier_lag_4,multiplier_lag_5,multiplier_mean_5,multiplier_mean_10,multiplier_mean_20,multiplier_std_5,multiplier_std_10,multiplier_std_20,hour,minute,day_of_week,is_weekend,hour_sin,hour_cos,previous_streak,result_1_count_10,result_1_count_20,result_2_count_10,result_2_count_20,result_5_count_10,result_5_count_20,result_10_count_10,result_10_count_20,result_20_count_10,result_20_count_20,result_40_count_10,result_40_count_20,result_50_count_10,result_50_count_20,target
1.0,1.0,2.0,5.0,5.0,1.0,1.0,2.0,5.0,5.0,2.8,3.1,5.5,2.049390153191916,2.8460498941515437,5.951558840470196,2,31,3,0,0.49999999999999994,0.8660254037844387,2.0,3.0,4.0,4.0,7.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2
2.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,5.0,2.2,3.1,5.35,1.6431676725154938,2.8460498941515437,6.00241179597177,2,32,3,0,0.49999999999999994,0.8660254037844387,1.0,3.0,4.0,4.0,8.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,2
2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.6,3.1,4.7,0.5477225575051528,2.8460498941515437,5.592287922713414,2,33,3,0,0.49999999999999994,0.8660254037844387,2.0,3.0,4.0,4.0,9.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1
1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.4,3.1,4.65,0.5477225575051528,2.8460498941515437,5.622089890498203,2,34,3,0,0.49999999999999994,0.8660254037844387,1.0,3.0,5.0,4.0,8.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2
2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.6,3.1,4.65,0.5477225575051528,2.8460498941515437,5.622089890498203,2,34,3,0,0.49999999999999994,0.8660254037844387,1.0,3.0,5.0,4.0,8.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1
1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.6,2.2,3.75,0.5477225575051528,1.5491933384829708,4.540751155109866,2,35,3,0,0.49999999999999994,0.8660254037844387,1.0,4.0,6.0,4.0,8.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5
5.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,2.2,2.2,3.2,1.6431676725154938,1.5491933384829708,3.533300231556298,2,36,3,0,0.49999999999999994,0.8660254037844387,1.0,4.0,6.0,4.0,8.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5
5.0,5.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,1.0,2.8,2.2,3.35,2.049390153191916,1.5491933384829708,3.5433406776507868,2,39,3,0,0.49999999999999994,0.8660254037844387,2.0,4.0,6.0,4.0,8.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,40
40.0,5.0,5.0,1.0,2.0,15.0,5.0,5.0,1.0,2.0,5.6,3.5,4.05,5.549774770204642,4.326918328582392,4.346504948019488,2,42,3,0,0.49999999999999994,0.8660254037844387,1.0,4.0,5.0,3.0,8.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,20
20.0,40.0,5.0,5.0,1.0,7.0,15.0,5.0,5.0,1.0,6.6,4.1,4.3,5.176871642217913,4.357624225296267,4.36613764037929,2,42,3,0,0.49999999999999994,0.8660254037844387,1.0,3.0,5.0,3.0,7.0,2.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2
